================================================================================
  OPEN PROMPTS - TOKENS USAGE & COST
  Project : pace--sigma
================================================================================

Label                           Tokens In  Tokens Out    Total         Cost  Timestamp
--------------------------------------------------------------------------------
open_prompt_1                       31337         599    31936 $   0.000101  [2026-08-20 18:53:33]
open_prompt_2                       31916        2448    34364 $   0.000125  [2026-08-20 19:01:35]
open_prompt_3                       40335         363    40698 $   0.000125  [2026-08-21 00:28:31]
open_prompt_4                       40541        1251    41792 $   0.000137  [2026-08-21 00:39:25]
open_prompt_5                       43452         874    44326 $   0.000141  [2026-08-21 00:45:33]
open_prompt_6                       48603         855    49458 $   0.000156  [2026-08-21 00:47:16]
open_prompt_7                       69961         440    70401 $   0.000215  [2026-08-21 00:59:12]
open_prompt_8                       82939         460    83399 $   0.000254  [2026-08-21 10:25:11]
open_prompt_9                       83751         480    84231 $   0.000257  [2026-08-21 10:30:38]
